"OVRL_HEALTH" "SELFDESC_WEIGHT" "MIN_MOD_PA"
"582" "Fair" "About the right weight" 45
"583" "Good" "About the right weight" 720
"584" "Very Good" "Slightly underweight" 150
"585" "Good" "About the right weight" 120
"586" "Very Good" "About the right weight" 300
"587" "Good" "About the right weight" 120
"588" "Good" "Slightly overweight" 300
"589" "Good" "Slightly underweight" 420
"590" "Fair" "Slightly overweight" 150
"591" "Very Good" "Slightly underweight" 300
"592" "Poor" "About the right weight" 60
"593" "Very Good" "About the right weight" 120
"594" "Very Good" "Slightly underweight" 300
"595" "Very Good" "Slightly overweight" 900
"596" "Good" "Slightly overweight" 120
"597" "Excellent" "About the right weight" 420
"598" "Good" "About the right weight" 780
"599" "Good" "Slightly overweight" 450
"600" "Very Good" "Very overweight" 60
"601" "Good" "Slightly overweight" 35
"602" "Good" "Slightly overweight" 420
"603" "Good" "Slightly overweight" 125
"604" "Fair" "About the right weight" 30
"605" "Good" "Slightly underweight" 60
"606" "Fair" "Slightly overweight" 30
"607" "Good" "About the right weight" 630
"608" "Good" "About the right weight" 60
"609" "Very Good" "About the right weight" 180
"610" "Very Good" "Very overweight" 30
"611" "Good" "Slightly overweight" 300
"612" "Good" "About the right weight" 60
"613" "Good" "Slightly overweight" 120
"614" "Very Good" "About the right weight" 420
"615" "Good" "Slightly overweight" 240
"616" "Excellent" "About the right weight" 420
"617" "Good" "About the right weight" 120
"618" "Very Good" "Slightly underweight" 120
"619" "Very Good" "Slightly overweight" 400
"620" "Fair" "Very overweight" 0
"621" "Good" "Slightly overweight" 3600
"622" "Good" "Slightly overweight" 180
"623" "Very Good" "About the right weight" 600
"624" "Good" "About the right weight" 200
"625" "Very Good" "Slightly underweight" 10
"626" "Good" "Very overweight" 60
"627" "Good" "Slightly underweight" 102
"628" "Excellent" "Slightly overweight" 60
"629" "Fair" "Slightly overweight" 200
"630" "Very Good" "About the right weight" 120
"631" "Good" "Very overweight" 120
"632" "Very Good" "About the right weight" 0
"633" "Very Good" "About the right weight" 150
"634" "Good" "About the right weight" 45
"635" "Very Good" "Slightly overweight" 50
"636" "Good" "About the right weight" 210
"637" "Poor" "About the right weight" 60
"638" "Good" "About the right weight" 50
"639" "Good" "About the right weight" 300
"640" "Very Good" "About the right weight" 180
"641" "Excellent" "About the right weight" 300
"642" "Good" "Slightly overweight" 180
"643" "Good" "Slightly overweight" 120
"644" "Very Good" "About the right weight" 60
"645" "Very Good" "About the right weight" 300
"646" "Good" "Slightly overweight" 200
"647" "Good" "About the right weight" 120
"648" "Good" "Slightly overweight" 10
"649" "Good" "Slightly underweight" 360
"650" "Good" "Slightly overweight" 900
"651" "Excellent" "About the right weight" 300
"652" "Very Good" "About the right weight" 55
"653" "Very Good" "About the right weight" 90
"654" "Very Good" "Slightly overweight" 1200
"655" "Very Good" "Slightly overweight" 300
"656" "Good" "Slightly underweight" 240
"657" "Very Good" "About the right weight" 60
"658" "Excellent" "About the right weight" 600
"659" "Good" "Very underweight" 120
"660" "Fair" "Slightly underweight" 1800
"661" "Good" "Slightly overweight" 300
"662" "Very Good" "Slightly underweight" 1260
"663" "Very Good" "About the right weight" 600
"664" "Good" "Very overweight" 600
"665" "Fair" "Slightly overweight" 350
"666" "Very Good" "About the right weight" 180
"667" NA "About the right weight" 120
"668" "Fair" "Slightly overweight" 90
"669" "Good" "Slightly overweight" 30
"670" "Fair" "About the right weight" 60
"671" "Excellent" "About the right weight" 190
"672" "Very Good" "About the right weight" 840
"673" "Fair" "Slightly overweight" 60
"674" "Good" "About the right weight" 60
"675" "Good" "Slightly overweight" 240
"676" "Very Good" "Slightly overweight" 500
"677" "Very Good" "About the right weight" 500
"678" "Very Good" "About the right weight" 190
"679" "Very Good" "About the right weight" 200
"680" "Good" "Slightly overweight" 90
"681" "Very Good" "About the right weight" 180
"682" "Good" "Slightly overweight" 500
"683" "Good" "Slightly overweight" 120
"684" "Very Good" "About the right weight" 30
"685" "Fair" "About the right weight" 30
"686" "Good" "About the right weight" 540
"687" "Very Good" "About the right weight" 300
"688" "Good" "Slightly overweight" 60
"689" "Fair" "Slightly underweight" 1000
"690" "Good" "About the right weight" 120
"691" "Excellent" "Very overweight" 0
"692" NA "Slightly overweight" 50
"693" "Very Good" "Slightly overweight" 20
"694" "Fair" "Slightly overweight" 60
"695" NA "Slightly overweight" 90
"696" "Good" "Slightly overweight" 840
"697" "Very Good" "Very overweight" 540
"698" "Excellent" "About the right weight" 120
"699" "Very Good" "Slightly underweight" 300
"700" "Very Good" "Slightly overweight" 180
"701" "Very Good" "Slightly overweight" 450
"702" "Very Good" "About the right weight" 500
"703" "Very Good" "Slightly overweight" 360
"704" "Good" "Slightly overweight" 480
"705" "Fair" "About the right weight" 30
"706" "Very Good" "About the right weight" 180
"707" "Good" "About the right weight" 60
"708" "Good" "About the right weight" 350
"709" "Good" "Slightly overweight" 20
